token,label,
"Black Samsung Galaxy A6, Serial Number RF8K83DN47H, Model SM-A600A, presently in FBI custody as Evidence Item 1B9, Case 281E-BS-4494114",phone,
"Black Samsung Galaxy A6, Serial Number RF8K83DN47H, Model SM-A600A, presently in FBI custody as Evidence Item 1B9, Case 281E-BS-4494114",phone,
Blue Apple iPhone,phone,
Blue Apple iPhone XR,phone,
Blue Apple iPhone XR,phone,
Blue Apple iPhone XR Seizure,phone,
Blue Apple iPhone XR Seizure No,phone,
Blue Samsung Smart Cell Phone with IMEI Number 355865101142047,phone,
Blue Samsung Smart Cell Phone with IMEI Number 355865101142047,phone,
Blue Samsung Smart Cell Phone with IMEI Number 355865101142047;,phone,
cell phone,phone,
Cell Phone,phone,
Cellular Telephone 1,phone,
Cellular Telephone Assigned Call Number (971) 237-4148,phone,
Cellular Telephone Assigned Call Number 321-960-1899,phone,
Cellular Telephone Assigned Call Number 321-960-1899,phone,
Cellular telephone with list telephone number,phone,
Dark Purple Motorola Phone Seizure No. 2020250400206301-0004,phone,
Data Contained in Apple iPhone.,phone,
defendant Red Apple iPhone XR IMEI #357349091122697,phone,
Google Pixel 3 XL,phone,
Gray Apple Iphone 11 Plus Seized as,phone,
Gray Apple Iphone 11 Plus Seized as FP&F No,phone,
Gray Apple iPhone Seized as FP&F No. 2020250400323201,phone,
Gray Kyocera Cellular Phone Moden #C6730 (Device 2,phone,
HTC Cell Phone,phone,
HTC Cell Phone,phone,
iPhone,phone,
iPhone Cell Phone MF26OLL (Target Device 3) IMEI: 990002676783994,phone,
"iPhone model A1586, IMEI: 356149090494571",phone,
"iPhone model A1586, IMEI: 356149090494571",phone,
"iPhone model A1586, IMEI: 356149090494571",phone,
"iPhone model A1586, IMEI: 356149090494571 (JMB,",phone,
"iPhone model A1586, IMEI: 356149090494571 (KM,",phone,
iPhone X-Max(Target,phone,
LG cellular phone IMEI 359962109228575,phone,
LG cellular phone IMEI 359962109228575.,phone,
"LG Tribute, Cellular Telephone Assigned Call Number (225) 747-3296, with IMEI 359907101248659 (Device l)",phone,
Mobile Wireless telephones 619-332-7463 and 619-551-2090,phone,
ONE ALCATEL BLACK CELLULAR PHONE,phone,
ONE ALCATEL BLACK CELLULAR PHONE; ONE LG FLIP PHONE; ONE BLACK AND SILVER IPHONE; AND ONE BLACK IPHONE Re:,phone,multiple
ONE BLACK AND SILVER IPHONE,phone,
ONE BLACK APPLE IPHONE,phone,
"ONE BLACK APPLE IPHONE AND ONE APPLE IPAD PREVIOUSLY RECOVERED BY THE FBI FROM THE OFFICE OF JASON TIPTON, FORT BELVOIR COMMUNITY HOSPITAL,",phone,
"ONE BLACK APPLE IPHONE AND ONE APPLE IPAD PREVIOUSLY RECOVERED BY THE FBI FROM THE OFFICE OF JASON TIPTON, FORT BELVOIR COMMUNITY HOSPITAL,",phone,
"ONE BLACK APPLE IPHONE AND ONE APPLE IPAD PREVIOUSLY RECOVERED BY THE FBI FROM THE OFFICE OF JASON TIPTON, FORT BELVOIR COMMUNITY HOSPITAL, (",phone,
"ONE BLACK APPLE IPHONE AND ONE APPLE IPAD PREVIOUSLY RECOVERED BY THE FBI FROM THE OFFICE OF JASON TIPTON, FORT BELVOIR COMMUNITY HOSPITAL, (bb",phone,
One black Apple iPhone belonging to Faith Nchole Dunford Seized as Exhibit N-1,phone,
"one black Apple iPhone, associated with phone number 313-926-3958",phone,
ONE BLACK IPHONE,phone,
ONE BLACK LG SMART CELLULAR,phone,
"ONE BLACK LG SMART CELLULAR,",phone,
ONE LG FLIP PHONE,phone,
"One LG Verizon Phone,",phone,
"One LG Verizon Phone, gray in color, associated telephone number (304) 639-2853",phone,
Pink Apple iPhone FCCID BCG-E2946A.,phone,
Pink Huawei phone Seized as FP&F No. 2020250400186901,phone,
Rose Gold i-Phone (Target Device,phone,
Rose Gold i-Phone (Target Device),phone,
Rose Gold i-Phone (Target Device) Seizure No,phone,
"Rose Gold IPHONE XS MAX, IMEI 357275099020411 (khan,",phone,
"Samsung Cell Phone Mode: SM-S727VL(GP), IMEI",phone,
Samsung cellular phone,phone,
"Samsung Cellular Telephone,",phone,
"Samsung Cellular Telephone, Black",phone,
"Samsung Cellular Telephone, Black",phone,
Samsung Galaxy Cell Phone (828) 817-6763,phone,
"Samsung Galaxy Cellular Telephone Model SMA2050, Assigned Call Number (214)643- 9992",phone,
"Samsung Galaxy Cellular Telephone Model SMA2050, Assigned Call Number (214)643- 9992",phone,
Samsung Galaxy J2 Cellular Phone Model No. SM-J260T1,phone,
Samsung Galaxy Model SM-J337P; Google Pixel 3 XL,phone,
Samsung Galaxy S9+ cellular telephone with serial number R38K7097QJJ,phone,
"Samsung Galaxy S9+ cellular telephone with serial number R38K7097QJJ, a Microsoft Surfacebook (1713) computer with serial number 001430660357, and two Western Digital Passport 2TB external hard drives",phone,
"Samsung Galaxy S9+ cellular telephone with serial number R38K7097QJJ, a Microsoft Surfacebook (1713) computer with serial number 001430660357, and two Western Digital Passport 2TB external hard drives ;",phone,
Samsung model S7 cellular telephone in a red Otter Box brand case,phone,
Samsung model S7 cellular telephone in a red Otter Box brand case,phone,
"Samsung Phone, Model #SM-J260T1, Motorola Phone, Model #XT19555",phone,
"Samsung Phone, Model #SM-J260T1, Motorola Phone, Model #XT19555",phone,
"Samsung Phone, Model #SM-J260T1, Motorola Phone, Model #XT19555,",phone,
"Samsung, Model Number SM-J327P",phone,
"Samsung, Model Number SM-J327P (DLB",phone,
"Samsung, Model Number SM-J327P (DLB",phone,
"Samsung, Model Number SM-J327P (DLB)",phone,
"Samsung, Model Number SM-J327P (DLB) (",phone,
Silver LG Cellular Telephone,phone,
Silver LG Cellular Telephone;,phone,
SIX CELLULAR TELEPHONES FURTHER DESCRIBED IN ATTACHMENT,phone,
SIX CELLULAR TELEPHONES FURTHER DESCRIBED IN ATTACHMENT,phone,
SIX CELLULAR TELEPHONES FURTHER DESCRIBED IN ATTACHMENT A,phone,
SIX CELLULAR TELEPHONES FURTHER DESCRIBED IN ATTACHMENT A.,phone,
Sky Devices Cellphone IMEI: 352083110405040,phone,
Sky Devices Cellphone IMEI: 352083110405040,phone,
Tech Pad cell phone IMEI 861041049245220,phone,
"The Black ZTE Blade Force 4G, The Storage unit #3348",phone,
The Black ZTE Blade Force 4G.,phone,
The Black ZTE Blade Force 4G. (,phone,
The cellular telephone assigned call number 213-285-9911,phone,
The cellular telephone assigned call number 414-550-2053,phone,
The cellular telephone assigned call number 920-371-4279,phone,
the Cellular Telephonic Assigned 414-499-6755,phone,
Three cellular telephones,phone,
Timovi Flip Phone IMEI No. 354364100507245,phone,
"to AN APPLE IPHONE (IMEI NUMBER 358689096531999), CURRENTLY IN MPD CUSTODY AT 17 DC VILLAGE LANE, S.W. WASHINGTON, D.C. 20032",phone,
"to AN APPLE IPHONE (IMEI NUMBER 358689096531999), CURRENTLY IN MPD CUSTODY AT 17 DC VILLAGE LANE, S.W. WASHINGTON, D.C. 20032",phone,
"to Apple iPhone 7, Microsoft Surface Pro4",phone,
"toAN APPLE IPHONE (IMEI NUMBER 358689096531999), CURRENTLY IN MPD CUSTODY AT 17 DC VILLAGE LANE, S.W. WASHINGTON, D.C. 20032",phone,
"toFOUR CELLULAR TELEPHONES THAT ARE CURRENTLY IN THE POSSESSION OF THE FEDERAL BUREAU OF INVESTIGATION IN WASHINGTON, D.C",phone,
"toFOUR CELLULAR TELEPHONES THAT ARE CURRENTLY IN THE POSSESSION OF THE FEDERAL BUREAU OF INVESTIGATION IN WASHINGTON, D.C",phone,
"toFOUR CELLULAR TELEPHONES THAT ARE CURRENTLY IN THE POSSESSION OF THE FEDERAL BUREAU OF INVESTIGATION IN WASHINGTON, D.C",phone,
"toFOUR CELLULAR TELEPHONES THAT ARE CURRENTLY IN THE POSSESSION OF THE FEDERAL BUREAU OF INVESTIGATION IN WASHINGTON, D.C",phone,
"toFOUR CELLULAR TELEPHONES THAT ARE CURRENTLY IN THE POSSESSION OF THE FEDERAL BUREAU OF INVESTIGATION IN WASHINGTON, D.C..",phone,
"toFOUR CELLULAR TELEPHONES THAT ARE CURRENTLY IN THE POSSESSION OF THE FEDERAL BUREAU OF INVESTIGATION IN WASHINGTON, D.C..",phone,
"toFOUR CELLULAR TELEPHONES THAT ARE CURRENTLY IN THE POSSESSION OF THE FEDERAL BUREAU OF INVESTIGATION IN WASHINGTON, D.C.. (",phone,
"TracFone Alcatel Raven Cellular Phone, Model A574BL, IMEI number 015295000054212, black in color",phone,
"TracFone Alcatel Raven Cellular Phone, Model A574BL, IMEI number 015295000054212, black in color",phone,
"TracFone Alcatel Raven Cellular Phone, Model A574BL, IMEI number 015295000054212, black in color;",phone,
Two cell phones,phone,
Two cellular telephones: Samsung Galaxy Model SM-J337P,phone,
VERIZON,phone,
Verizon Wireless,phone,
Verizon Wireless 602 339-1977,phone,
Verizon Wireless 802 249-7653,phone,
Verizon Wireless.,phone,
"White Xperia cell phone Seizure No. 2020250600095401-003 (""Target Device"")",phone,
Braejon Lee Spikes,person,
Brian Jeffrey Valencia,person,
Eligio Lee Camacho,person,
John Doe,person,
Junior W Miller (TW) (,person,
Kaliph K Hendree USMS No 07951-509 housed at Dodge Correctional Institution,person,
"Kevin Pelayo and Cristine Fredericks and residence at 5007 Onion Road, Killeen, Bell County, Texas",person,
Nicholas Sepesko,person,
Nicholas Sepesko (,person,
Peter Anthony Stiebel,person,
"Raymond Dale Carr, Jr",person,
"Raymond Dale Carr, Jr",person,
"The Person and Items in Possession of Evan Montvel-Cohen to Include Checked Luggage, Carry-On Baggage and Other Items",person,
"The Person Known And Described As Darnell Braxton, NYSID Number 07797185R.",person,
"The person of Gilbert J. Paniagua, his cell phone, and the premises located at 8338 N. Interstate Ave., Apt. 412, Portland, OR",person,
"The person of William Warren Pearce and the premises located at 4696 SE Libby Ct., Hillsboro, Oregon 97123",person,
"toTHE PERSON OF RONELL BROWN, B/M.",person,
"A UPS PACKAGE ADDRESSED TO 2600 WELSH ROAD, APARTMENT NO.",package,
Adams County Parcel Number: 0171917406011,package,
"FIVE U.S. POSTAL PARCELS LOCATED AT THE WASHINGTON GENERAL MAIL FACILITY, WASHINGTON, DC UNDER RULE 41",package,
"Priority Mail Parcel 9405536897846109889643 addressed to ""Aviara CPA, 6965 El Camino Real Ste 105, PMB 172, Carlsbad, CA 92009-4101",package,
Priority Mail Parcel 9505 5145 2349 0183 3310 45,package,
Priority Mail Parcel 9505 5145 2349 0183 3310 45,package,
Priority Mail Parcel 9505 5145 2349 0183 3310 45,package,
Priority Mail Parcel 9505 5145 2349 0183 3310 45,package,
"Priority Mail Parcel 9505 5145 2349 0183 3310 45,",package,
Priority Mail tracking number 9505 5132 8192 0279 3862 58,package,
Priority Mail tracking number 9505 5132 8192 0279 3862 58,package,
Priority Mail tracking number 9505 5132 8192 0279 3862 58.,package,
U.S. Priority Mail Express parcel EE373980899US,package,
U.S. Priority Mail Express parcel EJ172391207US,package,
U.S. Priority Mail Express parcel EJ225393842US,package,
U.S. Priority Mail Express parcel EJ225393842US,package,
U.S. Priority Mail Express parcel EJ326415493US,package,
U.S. Priority Mail Express parcel EJ346369458US,package,
U.S. Priority Mail Express parcel EJ380803925US,package,
U.S. Priority Mail Express parcel EJ395412546US,package,
U.S. Priority Mail parcel EJ281033727US,package,
U.S. Priority Mail parcel EJ281033727US,package,
U.S. Priority Mail parcel EJ373185459US,package,
"United States Postal Service Parcel, Tracking Number: EJ374966902US, addressed to 375 N. 167th Dr., Goodyear, AZ 85338",package,
"United States Postal Service Parcel, Tracking Number: EJ374966902US, addressed to 375 N. 167th Dr., Goodyear, AZ 85338",package,
United States Postal Service Priority Mail Express parcel,package,
United States Postal Service Priority Mail Express parcel,package,
United States Postal Service Priority Mail Express parcel,package,
United States Postal Service Priority Mail Express Parcel EE 336647090 US,package,
United States Postal Service Priority Mail Express Parcel EE 336647090 US,package,
United States Postal Service Priority Mail Express Parcel EE 336647090 US.,package,
United States Postal Service Priority Mail Express parcel.,package,
United States Postal Service Priority Mail parcel,package,
United States Postal Service Priority Mail parcel,package,
United States Postal Service Priority Mail Parcel 1,package,
"United States Postal Service Priority Mail Parcel 1, United States Postal Service Priority Mail Parcel 2 by",package,
United States Postal Service Priority Mail Parcel 2,package,
US Mail Parcel,package,
US Mail Parcel.,package,
"USPS Priority Mail addressed to 2609 Granby St, Norfolk, VA 23517",package,
"USPS Priority Mail addressed to 2609 Granby St, Norfolk, VA 23517",package,
"USPS Priority Mail addressed to 2609 Granby St, Norfolk, VA 23517",package,
"USPS Priority Mail addressed to 2609 Granby St, Norfolk, VA 23517 (mrees, )",package,
USPS Priority Mail Express Parcel EE 403 136 459 US,package,
USPS Priority Mail Express Parcel EE 403 136 459 US,package,
USPS Priority Mail Parcel bearing USPS Priority Mail Tracking Number,package,
USPS Priority Mail Parcel bearing USPS Priority Mail Tracking Number,package,
USPS Priority Mail Parcel bearing USPS Priority Mail Tracking Number (,package,
USPS Priority Mail Parcel bearing USPS Priority Mail Tracking Number (,package,
USPS Priority Mail Parcel bearing USPS Priority Mail Tracking Number (P) 9505514179470273881479,package,
USPS Priority Mail Parcel bearing USPS Priority Mail Tracking Number (P) 9505514179470273881479,package,
USPS Priority Mail Parcel bearing USPS Priority Mail Tracking Number (P) 9505514179470273881479,package,
USPS Priority Mail Parcel bearing USPS Tracking Number,package,
USPS Priority Mail Parcel bearing USPS Tracking Number (P) 9505 5105 4671 0202 2188 16,package,
USPS Priority Mail Parcel bearing USPS Tracking Number (P) 9505 5148 7447 0164 4194 51,package,
USPS Priority Mail Parcel bearing USPS Tracking Number (P) 9505 5148 7447 0164 4194 51,package,
USPS Priority Mail Parcel bearing USPS Tracking Number (P) 9505 5148 7447 0164 4194 51,package,
USPS Priority Mail Parcel bearing USPS Tracking Number (P) 9505 5148 7447 0164 4194 51,package,
"Apple, Inc., One Infinite Loop, Cupertino, California 95014",online account,
"Apple, Inc., One Infinite Loop, Cupertino, California 95014 (jdpjazzy891@gmail.com)",online account,
"Apple, Inc., One Infinite Loop, Cupertino, California 95014 (jdpjazzy891@gmail.com)",online account,
Brianrlewis78@gmail.com,online account,
Brianrlewis78@gmail.com,online account,
"Discord, Inc. account bearing user ID 280192627549274112",online account,
"DROPBOX, INC",online account,
Facebook,online account,
"Facebook, 1601 Willow Road Menlo Park, California 94025",online account,
"Facebook, Inc., 1601 Willow Road Menlo Park, CA 94025 (Facebook ID 100002128756342",online account,
"Facebook, Inc., 1601 Willow Road Menlo Park, CA 94025 (Facebook ID 100002128756342",online account,
"Facebook, Inc., 1601 Willow Road Menlo Park, CA 94025 (Facebook ID 100002128756342)",online account,
"Google, Inc. MaineHunter1991@gmail.com",online account,
"Google, Inc. MaineHunter1991@gmail.com",online account,
"Google, Inc. MaineHunter1991@gmail.com - APPROVED",online account,
"Google, Inc. MaineHunter1991@gmail.com.(kad",online account,
Handsomerob0315@gmail.com,online account,
"HopelynAusk123116, marcus.griffin",online account,
"Host of Facebook User ID: ""Jessihawk Morales"" Facebook, Inc., 1 Hacker Way Menlo Park, California 94025",online account,
INFO ASSOCIATED WITH KEVINPELAYO@HOTMAIL.COM,online account,
Information Associated with a user account that is stored at premises controlled by Spireon Inc.,online account,
Information Associated with a user account that is stored at premises controlled by Spireon Inc. (aef,online account,
"Information Associated with Account ""peteiegreen""",online account,
"Information Associated with Account ""peteiegreen""",online account,
"Information Associated With Dropbox User Identification Numbers 26293153, 1208420448 And 1719104928",online account,
"Information Associated With Dropbox User Identification Numbers 26293153, 1208420448 And 1719104928",online account,
INFORMATION ASSOCIATED WITH FACEBOOK USER ID 1300968540 THAT IS STORED AT PREMISES CONTROLLED BY FACEBOOK INC,online account,
INFORMATION ASSOCIATED WITH FACEBOOK USER ID 1300968540 THAT IS STORED AT PREMISES CONTROLLED BY FACEBOOK INC.,online account,
Information Associated with Facebook User ID https://www.facebook.com/profile.phpid=100008210433667 that is Stored at Premises Controlled by Facebook Inc.,online account,
Information Associated with Facebook User ID https://www.facebook.com/profile.phpid=100008210433667 that is Stored at Premises Controlled by Facebook Inc. (,online account,
Information associated with Skype Account: donstenson,online account,
"INFORMATION ASSOCIATED WITH THE BRANDON@HELPTHEMEDIA.COM AND INFO@HELPTHEMEDIA.COM EMAIL ACCOUNTS THAT ARE STORED AT PREMISES CONTROLLED BY A2 HOSTING, INC",online account,
Information Associated with Twitter User ID https://twitter.com/clartigue17lang=en that is Stored at Premises Controlled by Twitter Inc.,online account,
Information Associated with Twitter User ID https://twitter.com/clartigue17lang=en that is Stored at Premises Controlled by Twitter Inc. (,online account,
"Information maintained on computer servers controlled by Google, Inc",online account,
Information related with the following Facebook UID user and username Michael Karmo 100005005115157 Michael Karmo / michael.karmo53,online account,
Information related with the following Facebook UID user and username Michael Karmo 100005005115157 Michael Karmo / michael.karmo53,online account,
"Information related with the following Facebook UID user and username: Cody Smith 100001639894773 ""Cody Smith""",online account,
"Information related with the following Facebook UID user and username: Cody Smith 100001639894773 ""Cody Smith""",online account,
Jenniferlegge86@gmail.com,online account,
Jklenterprises01@gmail.com,online account,
Kindle,online account,
Kindle,online account,
lavandos@india.com,online account,
MaineHunter1991@gmail.com.(kad,online account,
MEGA's downloaded digital content of Beck's MEGA account - Macgwire532@gmail.com,online account,
MEGA's downloaded digital content of Beck's MEGA account - Macgwire532@gmail.com located at FBI Milwaukee,online account,
MEGA's downloaded digital content of Beck's MEGA account - Macgwire532@gmail.com located at FBI Milwaukee,online account,
MEGA's downloaded digital content of Beck's MEGA account - Macgwire532@gmail.com located at FBI Milwaukee Office,online account,
MEGA's downloaded digital content of Beck's MEGA account - Macgwire532@gmail.com located at FBI Milwaukee Office,online account,
MEGA's downloaded digital content of Beck's MEGA account - Macgwire532@gmail.com located at FBI Milwaukee Office,online account,
patriotprocessing15@gmail.com,online account,
Property Located at: Google LLC,online account,
Property Located at: Google LLC,online account,
Rlegge69@gmail.com,online account,
Skype Account: donstenson,online account,
"Snapchat (owned by Snap, Inc.) account with username ""Fun_boy1313""",online account,
"Snapchat Account ""lynnoxfin"" Stored at the Premises of Snap, Inc",online account,
"Snapchat Account ""squeeze10_8",online account,
"Snapchat Account ""squeeze10_8""",online account,
swambash@gmail.com,online account,
swambash@gmail.com,online account,
TARGET ACCOUNT STORED AT PREMISES CONTROLLED BY MEDIALAB.AI,online account,
Target Facebook Account User,online account,
Target Facebook Account User,online account,
"THE DROPBOX, INC",online account,
"THREE HUNDRED THREE VIRTUAL CURRENCY ACCOUNTS, THE DARKSCANDALS.COM DOMAIN",online account,
"THREE HUNDRED THREE VIRTUAL CURRENCY ACCOUNTS, THE DARKSCANDALS.COM DOMAIN,",online account,
"THREE HUNDRED THREE VIRTUAL CURRENCY ACCOUNTS, THE DARKSCANDALS.COM DOMAIN, AND THE DARKSCANDALS.CO DOMAIN",online account,
to IN RE: INFO ASSOCIATED WITH KEVINPELAYO@HOTMAIL.COM,online account,
"VIRTUAL CURRENCY ACCOUNTS, THE DARKSCANDALS.COM DOMAIN, AND THE DARKSCANDALS.CO DOMAIN (",online account,
"1534 Wabash Street, 2002 Oldsmobile Intrigue, Ring,",multiple,
"1534 Wabash Street, 2002 Oldsmobile Intrigue, Ring, Robert",multiple,
"1534 Wabash Street, 2002 Oldsmobile Intrigue, Ring, Robert",multiple,
"1534 Wabash Street, 2002 Oldsmobile Intrigue, Ring, Robert.",multiple,
"$46,300 in US Currency held at Busey Bank",money,
"ALL FUNDS ON DEPOSIT IN EASTERN BANK ACCT # xxxx, CURRENTLY HELD IN THE NAME OF K&B EDUCATION GROUP LLC",money,
"ALL FUNDS ON DEPOSIT IN EASTERN BANK ACCT # xxxx, CURRENTLY HELD IN THE NAME OF K&B EDUCATION GROUP LLC (",money,
"ALL FUNDS ON DEPOSIT UP TO A TOTAL OF $75,000.00 IN BANK OF AMERICA ACCOUNT NUMBER 237041857577, IN THE NAME OF LEWIS REVENUE GROUP L.L.C.",money,
"All funds up to $100,030.00 from account number 7303991, at Toronto Dominion Bank in Canada",money,
"Any funds, up to $23,397.07, in Bank of America account 354011819004",money,
Financial Account from,money,
Financial Account from Capital One,money,
Financial Account from Capital One,money,
Financial Account from JP Morgan Chase Bank,money,
Financial Account from JP Morgan Chase Bank,money,
"IN THE MATTER OF THE SEIZURE OF ALL FUNDS ON DEPOSIT UP TO A TOTAL OF $75,000.00 IN BANK OF AMERICA ACCOUNT NUMBER 237041857577, IN THE NAME OF LEWIS REVENUE GROUP L.L.C.",money,
toALL FUNDS IN TWO BANK ACCOUNTS HELD AT RENASANT BANK PURSUANT TO 18 U.S.C. 981,money,
"toSEIZURE OF ALL MONIES AND OTHER THINGS OF VALUE IN BANK OF AMERICA ACCOUNT # 446043617409, IN THE NAME OF TERRON DEMISE BARNES",money,
toTHE SEIZURE OF ALL FUNDS IN TWO BANK ACCOUNTS,money,
on 4/14/20,mistake,
", iPod",electronic devices other than phones,
"18 DIGITAL DEVICES, CURRENTLY LOCATED AT THE WASHINGTON OFFICE OF THE DRUG ENFORCEMENT ADMINISTRATION, 801 I STREET NW, WASHINGTON, D.C. UNDER RULE 41",electronic devices other than phones,
2 Subject Devices,electronic devices other than phones,
A Black Dell Inspiron 15 Laptop Serial No J0RRLJ2,electronic devices other than phones,
A Black Dell Inspiron 15 Laptop Serial No J0RRLJ2,electronic devices other than phones,
Alienware Laptop,electronic devices other than phones,
as to Target Devices,electronic devices other than phones,
Asus Laptop,electronic devices other than phones,
Black Sumsung Digital Video Recorder Model No SDR-C5300N,electronic devices other than phones,
Black Sumsung Digital Video Recorder Model No SDR-C5300N (KM,electronic devices other than phones,
Cobra DVR System,electronic devices other than phones,
Cobra DVR System.,electronic devices other than phones,
Dell Inspiron 15 Laptop Computer,electronic devices other than phones,
Dell Inspiron 15 Laptop Computer,electronic devices other than phones,
Dell Inspiron 15 Laptop Computer - APPROVED,electronic devices other than phones,
Dell Laptop,electronic devices other than phones,
Electronic Devices,electronic devices other than phones,
Electronic Devices,electronic devices other than phones,
"Electronic Devices located at 1970 E. Parham Road, Richmond, Virginia 23228",electronic devices other than phones,
Electronic Devices Seized from the Residence of Zaosong Zheng,electronic devices other than phones,
Flash Drive.(kad,electronic devices other than phones,
